id;entity_type;entity_label;latitude;longitude;description;dist_board_name;luminaire_model;entity_gui_color;device_type_number;luminaire_nominal_power;luminaire_dist_board;luminaire_post_number;dist_board_number;device_status;luminaire_dimming;luminaire_switch;dist_board_power_mode
1;CITY;Kyjov;49.010468;17.122395;City description;;;rgb(204,120,255);;;;;;;;;
2;DISTRICT;Kyjov;49.010468;17.122395;District description;;;rgb(204,120,255);;;;;;;;;
3;CABINET;RVO 2;49.00588056;17.12999722;Cabinet description;Kyjov RVO 2;;rgb(204,120,255);;;;;2;Virtual;;;Automatic
4;CABINET;RVO 5;49.007324;17.127967;Cabinet description;Kyjov RVO 5;;rgb(204,120,255);;;;;5;Virtual;;;Automatic
5;CABINET;RVO 6;49.007244;17.116508;Cabinet description;Kyjov RVO 6;;rgb(204,120,255);;;;;6;Virtual;;;Automatic
6;CABINET;RVO 12;49.012859;17.13365;Cabinet description;Kyjov RVO 12;;rgb(204,120,255);;;;;12;Virtual;;;Automatic
7;CABINET;RVO 15;49.017302;17.13458;Cabinet description;Kyjov RVO 15;;rgb(204,120,255);;;;;15;Virtual;;;Automatic
8;CABINET;RVO 17;49.01835;17.129594;Cabinet description;Kyjov RVO 17;;rgb(204,120,255);;;;;17;Virtual;;;Automatic
9;CABINET;RVO 13;49.013342;17.134541;Cabinet description;Kyjov RVO 13;;rgb(204,120,255);;;;;13;Virtual;;;Automatic
10;LUMINAIRE;LumDimm 5/053;49.008193;17.120946;Luminaire description;;DALYA M PLC 87W;;C039AN0685;87W;RVO 5;LumDimm 5/053;;Virtual;0;FALSE;
11;LUMINAIRE;LumDimm 5/097;49.007396;17.131415;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/097;;Virtual;0;FALSE;
12;LUMINAIRE;LumDimm 5/098;49.007552;17.131584;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/098;;Virtual;0;FALSE;
13;LUMINAIRE;LumDimm 5/099;49.007549;17.131859;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/099;;Virtual;0;FALSE;
14;LUMINAIRE;LumDimm 5/100;49.007214;17.131974;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/100;;Virtual;0;FALSE;
15;LUMINAIRE;LumDimm 5/101;49.007371;17.132193;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/101;;Virtual;0;FALSE;
16;LUMINAIRE;LumDimm 5/102;49.007443;17.132023;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/102;;Virtual;0;FALSE;
17;LUMINAIRE;LumDimm 5/103;49.007653;17.132068;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/103;;Virtual;0;FALSE;
18;LUMINAIRE;LumDimm 5/104;49.006999;17.131930;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/104;;Virtual;0;FALSE;
19;LUMINAIRE;LumDimm 5/105;49.006796;17.131951;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/105;;Virtual;0;FALSE;
20;LUMINAIRE;LumDimm 5/106;49.006547;17.132307;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/106;;Virtual;0;FALSE;
21;LUMINAIRE;LumDimm 5/107;49.006344;17.132572;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/107;;Virtual;0;FALSE;
22;LUMINAIRE;LumDimm 5/108;49.007075;17.131454;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/108;;Virtual;0;FALSE;
23;LUMINAIRE;LumDimm 5/109;49.006922;17.131619;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/109;;Virtual;0;FALSE;
24;LUMINAIRE;LumDimm 5/110;49.006373;17.132298;Luminaire description;;DALYA S PLC 28W;;C039AR0055;28W;RVO 5;LumDimm 5/110;;Virtual;0;FALSE;
