AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,Type,Name,Received,Forecaster,GPS_GEOHASH,Geo_
1,08/30/2018 11:00,12.9,18.4,30,1007,W at 12 MPH (280 deg),Potential Tropical Cyclone,Six,08/30/2018 10:45,Avila,drm3btev3e86,POINT (-71.34 41.12)
1A,08/30/2018 14:00,12.9,19.0,30,1007,W at 12 MPH (280 deg),Potential Tropical Cyclone,Six,08/30/2018 13:36,Avila,drm3btev3e86 ,POINT (-71.34 41.12)
2,08/30/2018 17:00,12.9,19.4,30,1007,W at 9 MPH (280 deg),Potential Tropical Cyclone,Six,08/30/2018 16:36,Avila,drm3btev3e86,POINT (-71.34 41.12)
2A,08/30/2018 20:00,13.1,20.4,30,1007,W at 11 MPH (280 deg),Potential Tropical Cyclone,Six,08/30/2018 19:44,Beven,drm3btev3e86,POINT (-71.34 41.12)
3,08/30/2018 23:00,13.2,20.9,35,1007,W at 13 MPH (280 deg),Potential Tropical Cyclone,Six,08/30/2018 22:42,Beven,drm3btev3e86,POINT (-71.34 41.12)
3A,08/31/2018 02:00,13.4,21.2,35,1007,W at 13 MPH (280 deg),Potential Tropical Cyclone,Six,08/31/2018 01:42,Berg,drm3btev3e86,POINT (-71.34 41.12)
4,08/31/2018 05:00,13.6,21.4,35,1006,WNW at 12 MPH (285 deg),Potential Tropical Cyclone,Six,08/31/2018 04:39,Berg,drm3btev3e86,POINT (-71.34 41.12)
4A,08/31/2018 08:00,13.7,21.8,35,1006,WNW at 12 MPH (285 deg),Potential Tropical Cyclone,Six,08/31/2018 07:33,Avila,drm3btev3e86,POINT (-71.34 41.12)
5,08/31/2018 11:00,13.7,22.7,35,1006,WNW at 13 MPH (285 deg),Potential Tropical Cyclone,Six,08/31/2018 10:38,Avila,drm3btev3e86,POINT (-71.34 41.12)
5A,08/31/2018 14:00,13.8,23.3,35,1006,WNW at 13 MPH (285 deg),Potential Tropical Cyclone,Six,08/31/2018 13:33,Avila,drm3btev3e86,POINT (-71.34 41.12)
6,08/31/2018 17:00,13.8,24.7,35,1004,W at 15 MPH (270 deg),Tropical Depression,SIX,08/31/2018 16:36,Avila,drm3btev3e96,POINT (-71.34 41.12)
6A,08/31/2018 20:00,14.0,25.0,35,1004,W at 15 MPH (270 deg),Tropical Depression,SIX,08/31/2018 19:44,Beven,drm3btev3e86,POINT (-71.34 41.12)
7,08/31/2018 23:00,14.2,25.5,35,1004,WNW at 14 MPH (285 deg),Tropical Depression,SIX,08/31/2018 22:42,Beven,drm3btev3e86,POINT (-71.34 41.12)
7A,09/01/2018 02:00,14.4,26.2,35,1004,WNW at 14 MPH (285 deg),Tropical Depression,SIX,09/01/2018 01:36,Berg,drm3btev3e86,POINT (-71.34 41.12)
8,09/01/2018 05:00,14.5,26.7,40,1003,WNW at 14 MPH (285 deg),Tropical Storm,Florence,09/01/2018 04:57,Berg,drm3btev3e86,POINT (-71.34 41.12)
8A,09/01/2018 08:00,14.6,27.2,40,1003,WNW at 14 MPH (285 deg),Tropical Storm,Florence,09/01/2018 07:36,Avila,drm3btev3e86,POINT (-71.34 41.12)
9,09/01/2018 11:00,14.8,27.8,45,1003,WNW at 14 MPH (285 deg),Tropical Storm,Florence,09/01/2018 10:48,Avila,drm3btev3e86,POINT (-71.34 41.12)
10,09/01/2018 17:00,15.6,29.0,45,1002,WNW at 16 MPH (285 deg),Tropical Storm,Florence,09/01/2018 16:38,Avila,drm3btev3e86,POINT (-71.34 41.12)
11,09/01/2018 23:00,16.0,30.2,50,1000,WNW at 14 MPH (290 deg),Tropical Storm,Florence,09/01/2018 22:57,Beven,drm3btev3e86,POINT (-71.34 41.12)
12,09/02/2018 05:00,16.5,31.4,60,999,WNW at 15 MPH (290 deg),Tropical Storm,Florence,09/02/2018 04:53,Zelinsky,drm3btev3e86,POINT (-71.34 41.12)
13,09/02/2018 11:00,17.0,33.2,50,1000,WNW at 18 MPH (285 deg),Tropical Storm,Florence,09/02/2018 10:51,Stewart,drm3btev3e86,POINT (-71.34 41.12)
14,09/02/2018 17:00,17.4,34.6,50,1000,WNW at 17 MPH (285 deg),Tropical Storm,Florence,09/02/2018 16:36,Brennan,drm3btev3e86,POINT (-71.34 41.12)
15,09/02/2018 23:00,17.9,35.9,50,1000,WNW at 16 MPH (290 deg),Tropical Storm,Florence,09/02/2018 22:36,Cangialosi,drm3btev3e86,POINT (-71.34 41.12)
16,09/03/2018 05:00,18.0,37.5,60,999,WNW at 16 MPH (285 deg),Tropical Storm,Florence,09/03/2018 04:51,Zelinsky,drm3btev3e86,POINT (-71.34 41.12)
17,09/03/2018 11:00,18.3,38.7,65,997,WNW at 16 MPH (285 deg),Tropical Storm,Florence,09/03/2018 10:45,Brennan,drm3btev3e86,POINT (-71.34 41.12)
18,09/03/2018 17:00,18.6,39.8,70,995,W at 15 MPH (280 deg),Tropical Storm,Florence,09/03/2018 16:33,Cangialosi,drm3btev3e86,POINT (-71.34 41.12)
19,09/03/2018 23:00,18.9,41.0,70,995,WNW at 14 MPH (290 deg),Tropical Storm,Florence,09/03/2018 22:33,Cangialosi,drm3btev3e86,POINT (-71.34 41.12)
20,09/04/2018 05:00,19.3,42.0,70,995,WNW at 13 MPH (290 deg),Tropical Storm,Florence,09/04/2018 04:39,Roberts,drm3btev3e86,POINT (-71.34 41.12)
21,09/04/2018 11:00,19.7,42.5,75,990,WNW at 12 MPH (295 deg),Hurricane,Florence,09/04/2018 10:39,Berg,drm3btev3e86,POINT (-71.34 41.12)
22,09/04/2018 17:00,20.3,43.2,85,984,WNW at 12 MPH (300 deg),Hurricane,Florence,09/04/2018 16:33,Berg,drm3btev3e86,POINT (-71.34 41.12)
23,09/04/2018 23:00,20.7,43.9,100,976,WNW at 12 MPH (300 deg),Hurricane,Florence,09/04/2018 22:54,Blake,drm3btev3e86,POINT (-71.34 41.12)
24,09/05/2018 05:00,21.4,44.8,105,976,NW at 13 MPH (305 deg),Hurricane,Florence,09/05/2018 04:50,Roberts,drm3btev3e86,POINT (-71.34 41.12)
25,09/05/2018 11:00,22.0,45.7,125,957,NW at 13 MPH (305 deg),Hurricane,Florence,09/05/2018 10:42,Berg/rhome,drm3btev3e86,POINT (-71.34 41.12)
26,09/05/2018 17:00,22.7,46.6,130,953,NW at 13 MPH (305 deg),Hurricane,Florence,09/05/2018 16:33,Berg/rhome,drm3btev3e86,POINT (-71.34 41.12)
27,09/05/2018 23:00,23.4,47.2,125,956,NW at 10 MPH (310 deg),Hurricane,Florence,09/05/2018 22:51,Blake,drm3btev3e86,POINT (-71.34 41.12)
28,09/06/2018 05:00,24.1,47.9,115,964,NW at 12 MPH (315 deg),Hurricane,Florence,09/06/2018 04:44,Zelinsky,drm3btev3e86,POINT (-71.34 41.12)
29,09/06/2018 11:00,24.6,48.6,105,975,NW at 10 MPH (315 deg),Hurricane,Florence,09/06/2018 10:42,Berg,drm3btev3e86,POINT (-71.34 41.12)
30,09/06/2018 17:00,25.0,49.6,80,989,NW at 10 MPH (305 deg),Hurricane,Florence,09/06/2018 16:45,Berg/rhome,drm3btev3e86,POINT (-71.34 41.12)
31,09/06/2018 23:00,25.1,49.8,70,993,WNW at 7 MPH (290 deg),Tropical Storm,Florence,09/06/2018 22:45,Blake,drm3btev3e86,POINT (-71.34 41.12)
32,09/07/2018 05:00,25.1,50.7,65,996,W at 7 MPH (275 deg),Tropical Storm,Florence,09/07/2018 04:50,Zelinsky,drm3btev3e86,POINT (-71.34 41.12)
33,09/07/2018 11:00,25.0,51.8,65,996,W at 8 MPH (270 deg),Tropical Storm,Florence,09/07/2018 10:45,Berg,drm3btev3e86,POINT (-71.34 41.12)
34,09/07/2018 17:00,24.8,52.5,65,996,W at 8 MPH (260 deg),Tropical Storm,Florence,09/07/2018 16:51,Berg,drm3btev3e86,POINT (-71.34 41.12)
35,09/07/2018 23:00,24.8,53.2,60,999,W at 7 MPH (265 deg),Tropical Storm,Florence,09/07/2018 22:54,Blake,drm3btev3e86,POINT (-71.34 41.12)
36,09/08/2018 05:00,24.5,54.2,65,997,W at 9 MPH (265 deg),Tropical Storm,Florence,09/08/2018 04:47,Stewart,drm3btev3e86,POINT (-71.34 41.12)
37,09/08/2018 11:00,24.5,54.3,65,995,W at 7 MPH (265 deg),Tropical Storm,Florence,09/08/2018 11:00,Berg,drm3btev3e86,POINT (-71.34 41.12)
38,09/08/2018 17:00,24.6,54.7,70,989,W at 5 MPH (270 deg),Tropical Storm,Florence,09/08/2018 16:45,Berg,drm3btev3e86,POINT (-71.34 41.12)
39,09/08/2018 23:00,24.6,55.2,70,989,W at 6 MPH (270 deg),Tropical Storm,Florence,09/08/2018 22:54,Avila,drm3btev3e86,POINT (-71.34 41.12)
40,09/09/2018 05:00,24.5,55.8,70,989,W at 6 MPH (270 deg),Tropical Storm,Florence,09/09/2018 04:45,Brown,drm3btev3e86,POINT (-71.34 41.12)
41,09/09/2018 11:00,24.4,56.3,75,984,W at 6 MPH (270 deg),Hurricane,Florence,09/09/2018 10:50,Blake,drm3btev3e86,POINT (-71.34 41.12)
42,09/09/2018 17:00,24.4,57.0,85,975,W at 7 MPH (270 deg),Hurricane,Florence,09/09/2018 16:47,Blake,drm3btev3e86,POINT (-71.34 41.12)
43,09/09/2018 23:00,24.6,57.7,90,974,W at 7 MPH (280 deg),Hurricane,Florence,09/09/2018 22:51,Stewart,drm3btev3e86,POINT (-71.34 41.12)
44,09/10/2018 05:00,24.9,58.9,105,969,WNW at 9 MPH (285 deg),Hurricane,Florence,09/10/2018 04:57,Brown,drm3btev3e86,POINT (-71.34 41.12)
45,09/10/2018 11:00,25.0,60.0,115,962,W at 13 MPH (280 deg),Hurricane,Florence,09/10/2018 10:51,Blake,drm3btev3e86,POINT (-71.34 41.12)
46,09/10/2018 17:00,25.4,61.1,140,939,WNW at 13 MPH (285 deg),Hurricane,Florence,09/10/2018 16:57,Blake,drm3btev3e86,POINT (-71.34 41.12)
47,09/10/2018 23:00,25.9,62.4,140,944,WNW at 13 MPH (290 deg),Hurricane,Florence,09/10/2018 22:45,Beven,drm3btev3e86,POINT (-71.34 41.12)
48,09/11/2018 05:00,26.4,64.1,140,944,WNW at 15 MPH (290 deg),Hurricane,Florence,09/11/2018 04:56,Brown,drm3btev3e86,POINT (-71.34 41.12)
48A,09/11/2018 08:00,26.4,64.6,130,950,WNW at 15 MPH (290 deg),Hurricane,Florence,09/11/2018 07:47,Stewart,drm3btev3e86,POINT (-71.34 41.12)
49,09/11/2018 11:00,26.7,65.3,130,950,WNW at 16 MPH (295 deg),Hurricane,Florence,09/11/2018 10:47,Stewart,drm3btev3e86,POINT (-71.34 41.12)
49A,09/11/2018 14:00,27.1,66.2,130,950,WNW at 17 MPH (295 deg),Hurricane,Florence,09/11/2018 13:36,Stewart,drm3btev3e86,POINT (-71.34 41.12)
50,09/11/2018 17:00,27.5,67.1,140,945,WNW at 17 MPH (300 deg),Hurricane,Florence,09/11/2018 16:42,Stewart,drm3btev3e86,POINT (-71.34 41.12)
50A,09/11/2018 20:00,28.0,67.9,140,945,WNW at 17 MPH (300 deg),Hurricane,Florence,09/11/2018 19:48,Pasch,drm3btev3e86,POINT (-71.34 41.12)
51,09/11/2018 23:00,28.4,68.7,140,946,WNW at 17 MPH (300 deg),Hurricane,Florence,09/11/2018 22:57,Pasch,drm3btev3e86,POINT (-71.34 41.12)
51A,09/12/2018 02:00,28.5,69.5,140,946,WNW at 17 MPH (300 deg),Hurricane,Florence,09/12/2018 01:45,Brown,drm3btev3e86,POINT (-71.34 41.12)
52,09/12/2018 05:00,29.0,70.1,130,946,WNW at 17 MPH (300 deg),Hurricane,Florence,09/12/2018 04:53,Brown,drm3btev3e86,POINT (-71.34 41.12)
52A,09/12/2018 08:00,29.4,70.7,130,943,WNW at 17 MPH (300 deg),Hurricane,Florence,09/12/2018 07:57,Stewart,drm3btev3e86,POINT (-71.34 41.12)
53,09/12/2018 11:00,29.8,71.3,130,943,NW at 15 MPH (305 deg),Hurricane,Florence,09/12/2018 10:42,Stewart,drm3btev3e86,POINT (-71.34 41.12)
53A,09/12/2018 14:00,30.4,71.8,125,948,NW at 16 MPH (310 deg),Hurricane,Florence,09/12/2018 14:36,Stewart,drm3btev3e86,POINT (-71.34 41.12)
54,09/12/2018 17:00,30.9,72.5,120,949,NW at 16 MPH (315 deg),Hurricane,Florence,09/12/2018 17:24,Stewart,drm3btev3e86,POINT (-71.34 41.12)
54A,09/12/2018 20:00,31.5,73.2,115,956,NW at 16 MPH (315 deg),Hurricane,Florence,09/12/2018 19:57,Beven,drm3btev3e86,POINT (-71.34 41.12)
