date,temperaturemin,temperaturemax
2007-01-01,48.9,68
2007-01-02,32,55.9
2007-01-03,28.9,62.1
2007-01-04,46,69.1
2007-01-05,57,72
2007-01-06,50,71.1
2007-01-07,44.1,66
2007-01-08,39.9,66.9
2007-01-09,30,55
2007-01-10,27,44.1
2007-01-11,24.1,51.1
2007-01-12,36,64.9
2007-01-13,48,69.1
2007-01-14,50,73.9
2007-01-15,57,73.9
2007-01-16,39.9,63
2007-01-17,28.9,39.9
2007-01-18,27,35.1
2007-01-19,34,54
2007-01-20,26.1,48
2007-01-21,28,35.1
2007-01-22,33.1,41
2007-01-23,32,50
2007-01-24,30,48.9
2007-01-25,30.9,46.9
2007-01-26,21.9,48.9
2007-01-27,32,64
2007-01-28,30.9,57.9
2007-01-29,19.9,37
2007-01-30,24.1,48.9
2007-01-31,25,39.9
2007-02-01,30,34
2007-02-02,34,45
2007-02-03,27,45
2007-02-04,25,50
2007-02-05,19.9,39.9
2007-02-06,15.1,39
2007-02-07,35.1,52
2007-02-08,27,48
2007-02-09,21.9,42.1
2007-02-10,26.1,46
2007-02-11,19.9,50
2007-02-12,26.1,64
2007-02-13,37.9,50
2007-02-14,28,53.1
2007-02-15,21.9,39.9
2007-02-16,23,39
2007-02-17,19,48
2007-02-18,26.1,45
2007-02-19,19,50
2007-02-20,41,66
2007-02-21,50,73
2007-02-22,48.9,73.9
2007-02-23,37,55
2007-02-24,28,57
2007-02-25,42.1,51.1
2007-02-26,41,61
2007-02-27,34,64.9
2007-02-28,37.9,61
2007-03-01,41,66.9
2007-03-02,46.9,68
2007-03-03,41,69.1
2007-03-04,34,50
2007-03-05,26.1,64
2007-03-06,37.9,55
2007-03-07,35.1,70
2007-03-08,30,55
2007-03-09,30.9,59
2007-03-10,37,71.1
2007-03-11,39.9,70
2007-03-12,37.9,66.9
2007-03-13,44.1,80.1
2007-03-14,54,81
2007-03-15,57,81
2007-03-16,37.9,66
2007-03-17,33.1,48.9
2007-03-18,28,48.9
2007-03-19,26.1,63
2007-03-20,48.9,77
2007-03-21,50,63
2007-03-22,43,77
2007-03-23,53.1,82.9
2007-03-24,57,86
2007-03-25,51.1,79
2007-03-26,44.1,73.9
2007-03-27,59,87.1
2007-03-28,61,86
2007-03-29,41,61
2007-03-30,34,70
2007-03-31,46.9,79
2007-04-01,59,77
2007-04-02,60.1,82.9
2007-04-03,53.1,86
2007-04-04,55.9,82
2007-04-05,41,57.9
2007-04-06,30,57
2007-04-07,32,48
2007-04-08,27,55.9
2007-04-09,32,55.9
2007-04-10,32,64
2007-04-11,46,59
2007-04-12,55.9,75
2007-04-13,46,66.9
2007-04-14,48.9,70
2007-04-15,42.1,77
2007-04-16,43,60.1
2007-04-17,46.9,72
2007-04-18,42.1,66.9
2007-04-19,44.1,57.9
2007-04-20,44.1,71.1
2007-04-21,39.9,77
2007-04-22,48.9,84
2007-04-23,52,82.9
2007-04-24,57.9,82.9
2007-04-25,61,87.1
2007-04-26,64.9,84.9
2007-04-27,63,82.9
2007-04-28,59,75.9
2007-04-29,53.1,80.1
2007-04-30,46.9,87.1
2007-05-01,59,91.9
2007-05-02,63,90
2007-05-03,57,71.1
2007-05-04,53.1,57
2007-05-05,55,66
2007-05-06,46.9,66.9
2007-05-07,42.1,70
2007-05-08,50,69.1
2007-05-09,63,81
2007-05-10,63,82.9
2007-05-11,61,87.1
2007-05-12,66,82
2007-05-13,51.1,73
2007-05-14,44.1,75
2007-05-15,53.1,82
2007-05-16,62.1,84
2007-05-17,55.9,69.1
2007-05-18,48.9,70
2007-05-19,43,73
2007-05-20,46.9,82.9
2007-05-21,54,88
2007-05-22,63,81
2007-05-23,55,82
2007-05-24,53.1,82
2007-05-25,55.9,86
2007-05-26,61,91
2007-05-27,61,91
2007-05-28,61,91
2007-05-29,62.1,91.9
2007-05-30,63,90
2007-05-31,64,91
2007-06-01,64,89.1
2007-06-02,66,82.9
